namn,postadress,tfn,epost,webbadress
Linnéuniversitetet ,351 95,0470-70 80 00,organisationskommitten@vxu.se,http://www.lnu.se/
Högskolan Dalarna,791 88,023-77 80 00,registrator@du.se,http://www.du.se
Malmö högskola,205 06,040-665 70 00,info@mah.se,http://www.mah.se/
Chalmers tekniska högskola,412 96,031-772 10 00,chalmers@chalmers.se,http://www.chalmers.se
KTH - Kungliga Tekniska högskolan,100 44,08-790 60 00,registrator@kth.se,http://www.kth.se/
Karlstads universitet,651 88,054-700 10 00,info@kau.se,http://www.kau.se/
Högskolan i Skövde,541 28,0500-44 80 00,info@his.se,http://www.his.se
Röda Korsets Högskola,10215,08-587 516 00,info@rkh.se,http://www.rkh.se/
Ersta Sköndal högskola,116 91,08-714 61 00,info@esh.se,http://www.esh.se
Kungl. Musikhögskolan i Stockholm,115 91,08-16 18 00,info@kmh.se,http://www.kmh.se
Stockholms universitet,106 91,08-16 20 00,registrator@su.se,http://www.su.se
Umeå universitet,901 87,090-786 50 00,umea.universitet@umu.se,http://www.umu.se
Lunds universitet,221 00,046-222 00 00,registrator@lu.se,http://www.lu.se
Karolinska institutet,171 77,08-524 864 00,info@ki.se,http://www.ki.se/
Blekinge tekniska högskola,371 79,0455-38 50 00,btf.styrelse@gmail.com,http://www.bth.se
Stockholms dramatiska högskola,102 51 ,+46 (0) 8 120 531 00 ,info@stdh.se,http://www.stdh.se/
Ericastiftelsen,114 24,08-402 17 60,mail@ericastiftelsen.se,http://www.ericastiftelsen.se
Försvarshögskolan Stockholm,115 93,08-553 425 00,saa@fhs.se,http://www.fhs.se
Örebro universitet,701 82,019-30 30 00,info@oru.se,http://www.oru.se
Luleå tekniska universitet,971 87,0920-49 10 00,studenttorget@ltu.se,http://www.ltu.se
Uppsala universitet,751 05,018-471 00 00,registrator@uu.se,http://www.uu.se
SLU (Sveriges lantbruksuniversitet),750 07,018-67 10 00,registrator@slu.se,http://www.slu.se
Högskolan i Borås,501 90,033-435 40 00,registrator@hb.se,http://www.hb.se
Högskolan i Halmstad,301 18,035-16 71 00,registrator@hh.se,http://www.hh.se
"Johannelunds teologiska högskola, Uppsala",754 27,018-16 99 00,johannelund@efs.svenskakyrkan.se,http://www.johannelund.nu/
Mittuniversitetet,851 70,0771-97 50 00,info@miun.se,http://www.miun.se
Kungl. Konsthögskolan,103 26,08-614 40 00,info@kkh.se,http://www.kkh.se
Högskolan Kristianstad,291 88,044-20 30 00,info@hkr.se,http://www.hkr.se
Högskolan i Jönköping,551 11,036-10 10 00,info@hj.se,http://www.hj.se
Högskolan i Gävle,801 76,026-64 85 00,registrator@hig.se,http://www.hig.se
Högskolan Väst,461 86,0520-22 30 00,registrator@hv.se,http://www.hv.se
Göteborgs universitet,405 30,031-786 00 00,info@gu.se,http://www.gu.se/
Dans och Cirkushögskolan,102 51,08-562 274 00,info@doch.se,http://www.doch.se
"Teologiska Högskolan, Stockholm",168 39,08-564 357 00,ths@ths.se,http://www.ths.se/
Linköpings universitet,581 83,013-28 10 00,liu@liu.se,http://www.liu.se/
Sophiahemmet Högskola,114 86,08-406 20 00,info@sophiahemmethogskola.se,http://www.sophiahemmethogskola.se/
Mälardalens högskola,721 23,021-10 13 00,info@mdh.se,http://www.mdh.se/
Södertörns högskola,141 89,08-608 40 00,info@sh.se,http://www.sh.se
Handelshögskolan i Stockholm,113 83,08-736 90 00,info@hhs.se,http://www.hhs.se
Konstfack,126 27,08-450 41 00,registrator@konstfack.se,http://www.konstfack.se
Stockholms Musikpedagogiska Institut,100 41,08-611 05 02,info@smpi.se,http://www.smpi.se/
Beckmans Designhögskola,114 34,08-660 20 20,info@beckmans.se,http://www.beckmans.se/
Myndigheten för samhällsskydd och beredskap,651 81,0771-240240,utbildning@msbmyndigheten.se,http://www.msbmyndigheten.se
Gymnastik- och idrottshögskolan,114 86,08-402 22 00,registrator@gih.se,http://www.gih.se
Högskolan på Gotland,621 67,0498-29 99 00,info@hgo.se,http://www.hgo.se
